label,message
ham,"[web발신][하나카드]문*곤님 5/27결제금액(5/22기준)164,397원"
spam,"[web발신](광고)[하나카드]요기패스X 하나카드로 결제하면 첫 2개월 월 900원! 월 4,900원으로 누리는 요기패스X 하나카드로 결제하면 첫 2개월 월 900원! 기간: 2024.2.1~2024.3.31"
ham,"[web발신]하나9*3*승인 문*곤 16,480원 일시불 05/22 17:32 GS25이천하이닉스M14 누적348,642원"
spam,"[web발신]""[광고](아이즈모바일) *특별혜택 25일(토) 접수마감* *대상자 필수 확인 ▶유심비 무료 + 유독쿠폰 월 4,400원 6개월간 제공"
ham,"문규곤TLN, 4월에 공급한 코베터 15nm 필터 품질 Qual. 진행현황 문의 드려요. 윤석희."
spam,[web발신](광고)월급쟁이부자들 [내일 마감] 돈 되는 전자책 주제 100개 받아가세요! 원더로이의 전자책 비법서 잘 보셨나요?
spam,[web발신]*안녕하세요. 글로벌 암호화폐 거래소 비트 파이낸스 에서 안내드립니다. ■ 2024년 5월 21일(화) ■ → 회원님의 소중한 자산 보호를 위하여 안내드립니다.
spam,[web발신](광고)[삼성증권] 5월 퇴직연금 상품가이드 퇴직연금 계좌로 어떤 상품에 투자 해야할지 모르겠다면? 매월 삼성증권에서 추천하는 퇴직연금 상품을 만나보세요. ▶고위험-초고위험투자형 https://dmsurvey.samsungpop.com/lnd/K8IBWgQBd354Su/
spam,"[web발신](광고)New 월부월백 애드센스 승인 5월반 사전 모집! -4주안에 승인받기! 아직도 알림 신청 안 하셨나요? 지금 알림 신청만 해도 30,000원 지원금을 드립니다!"
spam,[web발신]당첨을 축하드립니다. 상반기 수많은 성공사례 월 300만원 버는방법 https://vo.la/YkxLv
